"","psi","phi","d","b1","b2","b3","b4","b5","b6","b7","b8","status"
"A:1",0.215255812333333,-0.185585142333333,2.98344814833333,-0.679519650166667,-0.719101910333333,-0.496450746666667,-0.666698696833333,0.0255604847648833,-0.693944161219333,0.02460214407395,-0.920601382198833,"active"
"A:2",0.193600947333333,-0.3888828355,2.20599090166667,-0.893757290666667,0.109117089668467,-1.11943133383333,-1.16997042816667,-1.14487782041667,-1.43066872183333,0.0173465210332167,-0.978061164872833,"active"
"A:3",0.292689254666667,-0.414991492833333,3.69473744,-2.11725039833333,-1.47042933,-1.61178477166667,-1.06797242533333,-0.574097146093333,-2.76794456833333,-2.16119778833333,-2.0551074347,"active"
"A:4",0.202207397,-0.508520101,2.77164138833333,-2.200853245,-2.19559718833333,-3.24714208666667,-1.581484525,-3.72569696166667,-3.282815755,-0.7478651901025,-0.933878193553333,"active"
"A:5",0.161108623166667,-0.439773119166667,2.05150249666667,0.706191670416667,0.7453027005,0.400690801541667,0.203928929725017,0.983242776324667,0.18685398678265,1.49424235675,-0.93166696019,"active"
"A:6",0.2025659295,-0.352409486833333,2.52042768833333,0.0301168260936667,-0.295558660563667,-0.4125907984,-0.16678522431918,-0.625922608774667,-0.575940401736333,0.5019189494932,-1.2069046709385,"active"
"A:7",0.233926022166667,-0.6659792005,2.46705505333333,-2.273923925,-2.980749475,-2.47359047666667,-2.55096476666667,-3.73185809833333,-2.57148985833333,0.0297831684056667,-0.940392598355833,"active"
"A:8",0.227920810333333,-0.8146890435,1.93998002833333,-2.39293234333333,-2.83349807333333,-2.38095542666667,-2.300982025,-1.85462028383333,-1.63705823626167,-0.722367121769133,-0.957474605959833,"active"
"A:9",0.183436696166667,-0.109674213083333,2.46087760666667,1.07055631166667,0.839374191666667,0.925146447833333,0.982541702666667,0.907439166971667,-0.405791339354717,1.56048915366667,-0.8896824616415,"active"
"A:10",0.200359325,-0.379945110666667,2.24972711333333,-0.8287433915,-0.665631537666667,-1.158996306,-0.538747799683333,-0.127693410512,-1.37231202404,-0.801197936374833,-0.9457563212915,"active"
"A:11",0.161598970666667,-0.233455594333333,2.29175987166667,0.622982897333333,-0.46326851246,0.777426961666667,1.12009663816667,-0.2596526201055,-0.5184350332706,-1.22098591661667,-0.90523331271325,"active"
